,ID,LOC_ID,TR_N,PROJECT,SAMPLING_DATE,DEPTH,PH,SCARBON,SCEC,SNH4,SNO3,SLNI,SLON,SBDM,SRD,SPOR,WCF,GWCST,GWCFC,GWC1B,GWCWP,WCST,WCFC,WC1B,WCWP,SMACROP,SMESOP,SMICROP,SAND,SILT,CLAY,STC,DEPTH_range,SSKS,WCAD
1,SDTOS3MADRI,SDTO,S3,MADRI,02/26/2014,20,6.13,5.2,11.8,5.4213,49.5529,2100,2045.0258,1.590389397,2.634475018,39.63120033,14.33436025,33.01810583,25.15687017,19.8316779,17.92750121,52.50023639,40.00480075,31.52460015,28.51071529,12.49543564,11.49408546,41.99949613,28.27206625,55.99878812,15.72914563,SiLo,0_20,24.34612328,4.087674838
2,SDTOS3MADRI,SDTO,S3,MADRI,02/26/2014,20,6.65,2.2,5.48,3.9779,13.2317,1600,1582.7904,1.795413664,2.677483891,32.93613972,7.930531808,24.46392539,15.80126411,14.13971859,11.99349801,43.92212248,28.36903799,25.386195,21.52941352,15.55308449,6.839624472,35.47169181,45.00252717,36.89663887,18.10083397,Lo,20_40,21.93578638,6.732909328
3,SDTOS3MADRI,SDTO,S3,MADRI,02/26/2014,20,6.87,0.4,2.65,4.0909,2.4119,500,493.4972,1.541280901,2.6603312,42.06323186,6.834469628,26.14795902,11.53894135,7.201700507,6.229314492,40.30153292,17.76718837,11.09518489,9.594769462,22.53434455,8.172418912,34.55151613,81.40806905,2.96065837,15.63127258,SaLo,40_60,86.24198995,10.31678458
4,SDTOS2MADRI,SDTO,S2,MADRI,04/10/2014,20,5.55,4.5,6.61,3.1303,2.9806,700,693.8891,1.790993,2.654724,32.53785,12.00424,20.13012,15.25832,12.72836,11.03799,36.06324,27.31671,22.78229,19.76041,8.74653,7.556306,19.76041,41.30238,45.32635,13.37127,Lo,0_20,28.68223571,4.727566323
5,SDTOS2MADRI,SDTO,S2,MADRI,04/10/2014,20,6.38,2.4,6.69,1.9812,2.3119,300,295.7069,1.763465,2.594217,31.98848,14.45575,21.41186,15.65065,12.27897,10.01937,37.74363,27.59521,21.65814,17.67802,10.14842,9.917194,17.67802,47.5977,39.03102,13.37127,Lo,20_40,30.67443021,6.208001352
6,SDTOS2MADRI,SDTO,S2,MADRI,04/10/2014,20,6.34,1.4,5.01,2.1552,10.0062,200,187.8386,1.588681,2.661001,40.29592,8.811744,25.00478,8.4462,5.765525,4.25387,39.69059,13.4515,9.194216,6.78335,26.23909,6.668153,6.78335,77.89542,8.781614,13.32296,SaLo,40_60,83.81758238,6.872837345
7,SDTOS1MADRI,SDTO,S1,MADRI,05/10/2013,20,6.28,6.6251,12.1,5.192,4.078,416.202,406.932,1.530092206,2.63843214,42.02397911,33.98549685,44.74382957,27.10757717,23.25651886,14.62635922,68.07817109,40.76533637,34.87782615,21.75209631,1.258642736,19.01324007,21.75209631,39.21440097,45.63331989,15.15227914,Lo,0_20,40.09550044,8.281227265
8,SDTOS1MADRI,SDTO,S1,MADRI,05/10/2013,20,5.84,11.3712,14,7.95,10.373,932.597,914.274,1.709632921,2.652112225,35.54448083,30.88715386,36.51253973,21.37670232,17.07305756,9.802101942,59.99151497,35.1227487,28.05169391,16.10523261,2.721098151,19.01751609,16.10523261,37.94129514,46.90336897,15.15533589,Lo,20_40,32.54629945,6.156698941
9,SDTOS1MADRI,SDTO,S1,MADRI,05/10/2013,20,6.5,6.5205,12.7,4.806,3.605,390.189,381.778,1.657800102,2.648874898,37.41586418,32.43748944,41.96638468,21.94473009,17.80889685,10.34782257,69.60145212,36.36426612,29.52972059,17.1499359,1.051598067,19.21433022,17.1499359,40.30643204,44.49838188,15.19518608,Lo,40_60,27.91040913,7.048324854
10,SDTOS1MADRII,SDTO,S1,MADRII,08/10/2015,20,5.78,2.5,7.946666667,6.11404,12.1256,400,387.8744,1.40068752,2.681267753,47.76025189,1.631869819,32.33650599,12.46085355,7.399447344,5.254835738,45.29334038,17.45376205,10.36431355,7.36038284,30.30648984,10.09337921,7.36038284,70.87597833,17.55970299,11.56431868,SaLo,0_20,94.17866322,8.632765093
